Enterprise,ID,INF01,INF02,INF03,INF04,INF05,Prod1,Cult1,Prod3,Prod4,Prod5,Res9,Proc2,Proc3,Res8,Org1,Org2,Org3,Cult2,Mark1,Mark2,Mark3,Mark4,Res7,Res6,Res4,Cult3,Cult4,Cult5,Res5,Res2,Res3,Res1,INF06
E65,93,Cereté Córdoba ,Legal representative,,Manufacturing,None,4,4,2,4,5,2,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Microenterprise
E66,94,Tierralta ,Owner,,Commerce,None,3,4,4,4,5,4,5,5,4,4,1,4,4,4,5,5,5,4,4,4,3,3,4,4,4,4,3,Small enterprise
E67,95,CERETE CORDOBA,"Owner, Manager, Legal representative",,Service sector ,None,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,Medium enterprise
E68,96,Montería,Legal representative,,Commerce,None,3,3,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,5,5,4,4,4,4,3,3,3,3,Microenterprise
E69,97,Cereté,Manager,,Commerce,None,4,3,4,4,3,3,4,4,3,4,3,3,4,4,3,3,3,4,3,4,3,2,3,3,2,3,3,Small enterprise
E70,98,Montería,"Owner, Manager, Legal representative",,Service sector ,Programamos locales (Funding Program),5,5,5,5,5,1,5,5,5,5,3,3,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,Microenterprise
E71,99,Montería,Owner,,Commerce,None,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Small enterprise
E72,100,Barranquilla,Owner,,Commerce,None,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,4,Microenterprise
E73,101,Montería,Owner,,Commerce,None,4,4,5,5,4,4,4,4,5,4,4,4,4,3,5,4,4,4,5,5,5,5,5,4,5,5,4,Small enterprise
E74,102,Cartagena,CEO,,Transportation and logistics,None,4,4,4,5,5,3,5,5,4,3,3,4,4,1,4,2,5,3,3,4,2,3,4,1,1,1,1,Microenterprise
E75,103,Montería,Owner,,Commerce,None,4,4,3,4,5,5,5,4,5,4,3,5,5,5,2,2,3,3,4,3,3,4,3,3,4,3,4,Microenterprise
E76,104,Montería,Legal representative,,Service sector ,Futuriza,5,3,5,3,4,1,4,5,5,5,4,5,4,2,4,4,5,4,4,4,3,3,3,4,2,4,3,Big enterprise
E77,106,Santa cruz de lorica ,"CEO, Legal representative",,Agricultural / Agro-industrial,None,4,3,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Microenterprise
E78,107,Villavicencio,Manager,,Commerce,None,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Big enterprise
E79,108,Montería,Legal representative,,Agricultural / Agro-industrial,Futuriza,5,5,5,5,5,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4,3,4,3,Microenterprise
E80,109,Cali,CEO,,Service sector ,None,5,4,3,4,5,4,5,5,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,5,4,3,Big enterprise
E81,110,Bogotá,"CEO, Owner, Manager, Legal representative",,Education,None,4,5,5,5,3,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,3,3,5,4,4,4,4,Medium enterprise
E82,111,Montería,CEO,,Service sector ,"Productive Colombia, Futuriza",4,5,5,5,3,3,5,5,5,5,4,3,5,5,5,5,5,5,5,5,3,4,4,4,5,5,4,Small enterprise
E83,112,Montería,Manager,,Transportation and logistics,None,5,4,5,4,5,4,5,4,4,4,3,3,4,4,4,5,4,3,4,4,4,4,3,4,3,4,3,Microenterprise
E84,113,Montería,Manager,,Commerce,None,5,4,5,5,2,2,4,2,2,1,1,1,4,2,4,4,2,4,2,2,4,4,4,1,4,1,1,Microenterprise
E85,114,Montería,Owner,,Commerce,None,4,4,4,5,4,4,4,5,4,5,4,5,4,3,4,5,4,5,4,4,4,4,4,4,5,4,4,Small enterprise
